,FinalValue
2008-01-03,50000.0
2008-01-04,49892.0
2008-01-07,49881.0
2008-01-08,49800.0
2008-01-09,49814.0
2008-01-10,49879.0
2008-01-11,49879.0
2008-01-14,49879.0
2008-01-15,49879.0
2008-01-16,49879.0
2008-01-17,49879.0
2008-01-18,49879.0
2008-01-22,49889.0
2008-01-23,49881.0
2008-01-24,49918.0
2008-01-25,49947.0
2008-01-28,50006.0
2008-01-29,50006.0
2008-01-30,50006.0
2008-01-31,50006.0
2008-02-01,50006.0
2008-02-04,50006.0
2008-02-05,50006.0
2008-02-06,49981.0
2008-02-07,49975.0
2008-02-08,49963.0
2008-02-11,49992.0
2008-02-12,50018.0
2008-02-13,50018.0
2008-02-14,50018.0
2008-02-15,50006.0
2008-02-19,49972.0
2008-02-20,49920.0
2008-02-21,49900.0
2008-02-22,49940.0
2008-02-25,49940.0
2008-02-26,49940.0
2008-02-27,49940.0
2008-02-28,49940.0
2008-02-29,49940.0
2008-03-03,49940.0
2008-03-04,49940.0
2008-03-05,49940.0
2008-03-06,49940.0
2008-03-07,49940.0
2008-03-10,49940.0
2008-03-11,49940.0
2008-03-12,49940.0
2008-03-13,49940.0
2008-03-14,49940.0
2008-03-17,49940.0
2008-03-18,49940.0
2008-03-19,49940.0
2008-03-20,49940.0
2008-03-24,49940.0
2008-03-25,49940.0
2008-03-26,49940.0
2008-03-27,49916.0
2008-03-28,49933.0
2008-03-31,49955.0
2008-04-01,49993.0
2008-04-02,49975.0
2008-04-03,49975.0
2008-04-04,49975.0
2008-04-07,49975.0
2008-04-08,49975.0
2008-04-09,49976.0
2008-04-10,49992.0
2008-04-11,49970.0
2008-04-14,49915.0
2008-04-15,49963.0
2008-04-16,50042.0
2008-04-17,50067.0
2008-04-18,50054.0
2008-04-21,50031.0
2008-04-22,50042.0
2008-04-23,50003.0
2008-04-24,50032.0
2008-04-25,50054.0
2008-04-28,50054.0
2008-04-29,50054.0
2008-04-30,50054.0
2008-05-01,50054.0
2008-05-02,50054.0
2008-05-05,50054.0
2008-05-06,50054.0
2008-05-07,50054.0
2008-05-08,50054.0
2008-05-09,50054.0
2008-05-12,50054.0
2008-05-13,50054.0
2008-05-14,50054.0
2008-05-15,50054.0
2008-05-16,50054.0
2008-05-19,50047.0
2008-05-20,50005.0
2008-05-21,49972.0
2008-05-22,49975.0
2008-05-23,49942.0
2008-05-27,49964.0
2008-05-28,49957.0
2008-05-29,49957.0
2008-05-30,49957.0
2008-06-02,49957.0
2008-06-03,49957.0
2008-06-04,49957.0
2008-06-05,49957.0
2008-06-06,49916.0
2008-06-09,49870.0
2008-06-10,49882.0
2008-06-11,49812.0
2008-06-12,49827.0
2008-06-13,49827.0
2008-06-16,49827.0
2008-06-17,49827.0
2008-06-18,49827.0
2008-06-19,49872.0
2008-06-20,49906.0
